x-velocity,y-velocity,pressure
4.99E+00,-5.80E-03,1.99E+01
2.33E+00,1.52E-02,-1.86E-01
6.54E+00,-3.47E-01,-4.76E-01
-1.02E-02,-7.73E-04,-1.12E+01
6.23E+00,1.38E-01,5.48E-01
3.92E+00,2.17E-01,1.56E+00
6.48E+00,2.46E-01,3.41E-01
6.32E+00,-1.06E-01,2.79E-02
5.41E+00,2.15E-01,-1.09E+00
6.46E+00,-1.50E-01,3.51E-01
4.85E+00,1.91E-01,2.12E+01
2.40E-02,-2.81E-07,-1.90E-01
3.26E+00,2.26E-02,-1.45E-01
3.11E+00,6.20E-02,1.41E+00
1.24E-01,1.40E-04,-1.23E+00
1.22E+00,-2.99E-03,-1.61E-01
6.43E+00,-3.52E-01,3.15E-01
5.05E+00,2.40E-02,1.80E+01
5.04E+00,-1.51E-01,1.86E+01
6.68E+00,1.96E-01,-2.28E+00
9.23E-02,2.50E-05,-2.92E-01
6.33E-01,3.20E-03,1.40E+00
4.38E+00,6.74E-02,-1.67E-01
7.65E-01,-4.95E-03,1.14E+01
8.79E-02,2.78E-06,-1.97E-01
6.35E+00,-1.43E-01,5.24E-01
6.34E+00,-4.06E-01,-5.78E+00
5.17E+00,4.73E-01,-8.46E-01
1.70E+00,-2.94E-02,-1.21E+00
1.49E+00,1.81E-02,-7.92E-01
6.44E+00,3.16E-01,-1.16E+00
6.47E+00,1.51E-01,2.92E-01
6.08E+00,-1.08E-01,5.78E-02
6.49E+00,-1.78E+00,-2.14E+00
1.20E+00,-2.09E-03,-1.71E-01
3.97E+00,-1.02E-01,-7.47E-01
3.19E+00,2.49E-02,1.26E+00
2.69E+00,-4.12E-02,5.82E-01
0.00E+00,0.00E+00,3.72E+00
2.96E-01,-5.58E-04,-3.25E-01
